x_map,y_map,v_target,kappa,s
2.5585,-4.9188,5.5308,-0.0693,31.5431
2.5611,-4.8101,5.4873,-0.0749,31.6522
2.5644,-4.7014,5.4434,-0.0809,31.7611
2.5688,-4.5927,5.3992,-0.0862,31.8702
2.5741,-4.4841,5.3546,-0.0923,31.9791
2.5805,-4.3757,5.3097,-0.0990,32.0881
2.5883,-4.2674,5.2643,-0.1064,32.1971
2.5973,-4.1590,5.2186,-0.1151,32.3061
2.6074,-4.0509,5.1724,-0.1241,32.4150
2.6190,-3.9430,5.1259,-0.1339,32.5240
2.6321,-3.8352,5.0789,-0.1452,32.6329
2.6468,-3.7279,5.0315,-0.1572,32.7416
2.6634,-3.6210,4.9837,-0.1689,32.8504
2.6821,-3.5145,4.9355,-0.1797,32.9590
2.7028,-3.4084,4.8868,-0.1889,33.0675
2.7257,-3.3030,4.8377,-0.1960,33.1761
2.7509,-3.1980,4.7881,-0.2027,33.2845
2.7782,-3.0938,4.7380,-0.2086,33.3931
2.8082,-2.9902,4.6873,-0.2138,33.5014
2.8403,-2.8875,4.6362,-0.2208,33.6097
2.8749,-2.7856,4.5845,-0.2284,33.7181
2.9119,-2.6846,4.5354,-0.2333,33.8263
2.9514,-2.5846,4.4979,-0.2350,33.9345
2.9934,-2.4858,4.4447,-0.2313,34.0427
3.0384,-2.3883,4.3908,-0.2338,34.1509
3.0858,-2.2919,4.3362,-0.2441,34.2592
3.1358,-2.1966,4.2809,-0.2392,34.3674
3.1877,-2.1023,4.2250,-0.2206,34.4756
3.2410,-2.0094,4.1683,-0.2028,34.5836
3.3015,-1.9210,4.1108,-0.1871,34.6918
3.3638,-1.8329,4.0525,-0.1735,34.7997
3.4270,-1.7461,3.9935,-0.1505,34.9077
3.4914,-1.6601,3.9336,-0.1156,35.0155
3.5567,-1.5748,3.8728,-0.0899,35.1233
3.6230,-1.4904,3.8111,-0.0734,35.2311
3.6901,-1.4065,3.7484,-0.0558,35.3387
3.7577,-1.3229,3.6846,-0.0364,35.4464
3.8257,-1.2395,3.6198,-0.0123,35.5543
3.8939,-1.1559,3.5536,0.0190,35.6624
3.9624,-1.0721,3.4860,0.0672,35.7709
4.0310,-0.9876,3.4168,0.1306,35.8804
4.0999,-0.9015,3.3456,0.1893,35.9905
4.1684,-0.8133,3.2724,0.2457,36.1006
4.2357,-0.7219,3.1976,0.3090,36.2107
4.2948,-0.6245,3.1209,0.3761,36.3214
4.3504,-0.5251,3.0419,0.4440,36.4317
4.4016,-0.4231,2.9610,0.5014,36.5415
4.4475,-0.3185,2.8782,0.5501,36.6508
4.4873,-0.2113,2.7935,0.6048,36.7596
4.5197,-0.1015,2.7064,0.6553,36.8680
4.5441,0.0105,2.6398,0.6888,36.9760
4.5591,0.1243,2.6096,0.7049,37.0839
4.5642,0.2388,2.6158,0.7015,37.1921
4.5601,0.3531,2.6601,0.6783,37.3006
4.5474,0.4668,2.7464,0.6364,37.4098
4.5265,0.5796,2.8632,0.5838,37.5195
