# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.3067,5.2207,0.9172,0.9172
-2.2639,5.2849,0.9349,0.9349
-2.2194,5.3478,0.9551,0.9551
-2.1669,5.4042,0.9826,0.9826
-2.1124,5.4588,1.0106,1.0106
-2.0578,5.5133,1.0335,1.0335
-1.9997,5.5641,1.0516,1.0516
-1.9399,5.6127,1.0600,1.0600
-1.8738,5.6522,1.0687,1.0687
-1.8033,5.6835,1.0690,1.0690
-1.7328,5.7148,1.0629,1.0629
-1.6595,5.7384,1.0525,1.0525
-1.5842,5.7552,1.0387,1.0387
-1.5077,5.7647,1.0259,1.0259
-1.4311,5.7732,1.0101,1.0101
-1.3548,5.7839,0.9969,0.9969
-1.2786,5.7957,0.9905,0.9905
-1.2020,5.8042,0.9860,0.9860
