x_map,y_map,v_target,kappa,s
4.0698,-12.4765,3.3223,0.1843,23.4353
4.1321,-12.3851,3.2483,0.2427,23.5462
4.1917,-12.2916,3.1723,0.3069,23.6573
4.2484,-12.1960,3.0942,0.3741,23.7681
4.3008,-12.0984,3.0145,0.4411,23.8781
4.3482,-11.9991,2.9330,0.5060,23.9870
4.3894,-11.8983,2.8502,0.5691,24.0947
4.4240,-11.7963,2.7658,0.6257,24.2008
4.4510,-11.6937,2.6801,0.6683,24.3052
4.4701,-11.5910,2.6036,0.7081,24.4085
4.4809,-11.4884,2.5397,0.7442,24.5106
4.4834,-11.3863,2.5338,0.7477,24.6125
4.4783,-11.2845,2.5794,0.7215,24.7128
4.4661,-11.1850,2.6547,0.6811,24.8140
4.4440,-11.0862,2.7537,0.6330,24.9182
4.4152,-10.9860,2.8650,0.5822,25.0237
4.3805,-10.8864,2.9734,0.5168,25.1300
4.3407,-10.7879,3.0787,0.4391,25.2371
4.2960,-10.6905,3.1814,0.3781,25.3450
4.2469,-10.5945,3.2816,0.3312,25.4534
4.1943,-10.4997,3.3792,0.2863,25.5620
4.1385,-10.4064,3.4743,0.2429,25.6710
4.0803,-10.3143,3.5672,0.2042,25.7800
4.0202,-10.2233,3.6577,0.1706,25.8892
3.9585,-10.1333,3.7462,0.1278,25.9983
3.8956,-10.0441,3.8326,0.0756,26.1075
3.8315,-9.9557,3.9171,0.0348,26.2165
3.7667,-9.8681,3.9997,0.0040,26.3259
3.7010,-9.7806,4.0810,-0.0283,26.4351
3.6382,-9.6913,4.1605,-0.0634,26.5438
3.5758,-9.6022,4.2381,-0.0995,26.6524
3.5142,-9.5129,4.3143,-0.1229,26.7608
3.4535,-9.4231,4.3890,-0.1334,26.8691
3.3943,-9.3324,4.4624,-0.1514,26.9773
3.3367,-9.2407,4.5346,-0.1761,27.0854
3.2810,-9.1481,4.6056,-0.1956,27.1935
3.2273,-9.0543,4.6754,-0.2102,27.3015
3.1760,-8.9593,4.6250,-0.2215,27.4095
3.1271,-8.8629,4.5734,-0.2295,27.5175
3.0806,-8.7655,4.5395,-0.2329,27.6254
3.0367,-8.6669,4.5569,-0.2312,27.7334
2.9953,-8.5671,4.6160,-0.2253,27.8415
2.9565,-8.4662,4.6857,-0.2176,27.9497
2.9202,-8.3643,4.7545,-0.2092,28.0581
2.8862,-8.2615,4.8223,-0.1995,28.1665
2.8542,-8.1578,4.8894,-0.1879,28.2751
2.8242,-8.0534,4.9555,-0.1769,28.3838
2.7962,-7.9484,5.0209,-0.1683,28.4926
2.7703,-7.8428,5.0855,-0.1607,28.6013
2.7460,-7.7368,5.1492,-0.1531,28.7101
2.7235,-7.6304,5.2122,-0.1447,28.8189
2.7027,-7.5235,5.2745,-0.1362,28.9278
2.6836,-7.4163,5.3361,-0.1293,29.0367
2.6659,-7.3089,5.3970,-0.1222,29.1457
2.6496,-7.2012,5.4572,-0.1139,29.2546
2.6346,-7.0933,5.5167,-0.1063,29.3636
2.6209,-6.9851,5.5757,-0.0997,29.4726
2.6084,-6.8768,5.6340,-0.0940,29.5815
2.5970,-6.7685,5.6917,-0.0888,29.6905
2.5866,-6.6600,5.7489,-0.0834,29.7996
2.5771,-6.5514,5.8055,-0.0783,29.9086
2.5685,-6.4427,5.8616,-0.0739,30.0176
2.5609,-6.3339,5.9171,-0.0707,30.1266
2.5541,-6.2252,5.9721,-0.0681,30.2355
2.5481,-6.1164,5.9887,-0.0649,30.3445
2.5427,-6.0076,5.9485,-0.0620,30.4534
2.5381,-5.8987,5.9081,-0.0602,30.5624
2.5343,-5.7899,5.8674,-0.0595,30.6714
2.5311,-5.6809,5.8264,-0.0595,30.7804
2.5286,-5.5720,5.7851,-0.0589,30.8893
2.5268,-5.4630,5.7435,-0.0588,30.9983
2.5257,-5.3540,5.7016,-0.0601,31.1073
2.5253,-5.2451,5.6594,-0.0613,31.2162
2.5256,-5.1361,5.6169,-0.0630,31.3253
2.5266,-5.0270,5.5740,-0.0656,31.4342
2.5285,-4.9182,5.5308,-0.0693,31.5431
2.5311,-4.8093,5.4873,-0.0749,31.6522
2.5344,-4.7003,5.4434,-0.0809,31.7611
2.5388,-4.5914,5.3992,-0.0862,31.8702
2.5441,-4.4825,5.3546,-0.0923,31.9791
2.5506,-4.3737,5.3097,-0.0990,32.0881
2.5584,-4.2651,5.2643,-0.1064,32.1971
2.5674,-4.1564,5.2186,-0.1151,32.3061
2.5776,-4.0479,5.1724,-0.1241,32.4150
2.5892,-3.9396,5.1259,-0.1339,32.5240
2.6023,-3.8314,5.0789,-0.1452,32.6329
2.6171,-3.7236,5.0315,-0.1572,32.7416
2.6338,-3.6161,4.9837,-0.1689,32.8504
2.6526,-3.5090,4.9355,-0.1797,32.9590
2.6734,-3.4023,4.8868,-0.1889,33.0675
2.6965,-3.2963,4.8377,-0.1960,33.1761
2.7218,-3.1907,4.7881,-0.2027,33.2845
2.7493,-3.0858,4.7380,-0.2086,33.3931
2.7795,-2.9816,4.6873,-0.2138,33.5014
2.8118,-2.8782,4.6362,-0.2208,33.6097
2.8466,-2.7756,4.5845,-0.2284,33.7181
2.8839,-2.6739,4.5354,-0.2333,33.8263
2.9236,-2.5732,4.4979,-0.2350,33.9345
2.9660,-2.4736,4.4447,-0.2313,34.0427
3.0113,-2.3754,4.3908,-0.2338,34.1509
3.0591,-2.2783,4.3362,-0.2441,34.2592
3.1094,-2.1824,4.2809,-0.2392,34.3674
3.1615,-2.0876,4.2250,-0.2206,34.4756
3.2154,-1.9938,4.1683,-0.2028,34.5836
3.2736,-1.9028,4.1108,-0.1871,34.6918
3.3334,-1.8125,4.0525,-0.1735,34.7997
3.3941,-1.7234,3.9935,-0.1505,34.9077
3.4561,-1.6350,3.9336,-0.1156,35.0155
3.5190,-1.5474,3.8728,-0.0899,35.1233
3.5829,-1.4606,3.8111,-0.0734,35.2311
3.6475,-1.3744,3.7484,-0.0558,35.3387
3.7126,-1.2886,3.6846,-0.0364,35.4464
3.7780,-1.2030,3.6198,-0.0123,35.5543
3.8436,-1.1174,3.5536,0.0190,35.6624
3.9094,-1.0316,3.4860,0.0672,35.7709
3.9752,-0.9453,3.4168,0.1306,35.8804
4.0410,-0.8578,3.3456,0.1893,35.9905
4.1059,-0.7689,3.2724,0.2457,36.1006
4.1686,-0.6784,3.1976,0.3090,36.2107
4.2257,-0.5842,3.1209,0.3761,36.3214
4.2797,-0.4876,3.0419,0.4440,36.4317
4.3292,-0.3890,2.9610,0.5014,36.5415
4.3734,-0.2885,2.8782,0.5501,36.6508
4.4114,-0.1861,2.7935,0.6048,36.7596
4.4422,-0.0816,2.7064,0.6553,36.8680
4.4653,0.0243,2.6398,0.6888,36.9760
4.4794,0.1313,2.6096,0.7049,37.0839
4.4842,0.2391,2.6158,0.7015,37.1921
4.4803,0.3472,2.6601,0.6783,37.3006
4.4683,0.4551,2.7464,0.6364,37.4098
4.4484,0.5624,2.8632,0.5838,37.5195
4.4214,0.6687,2.9759,0.5306,37.6296
4.3883,0.7738,3.0850,0.4782,37.7403
4.3498,0.8776,3.1908,0.4271,37.8509
4.3066,0.9794,3.2931,0.3809,37.9616
4.2592,1.0794,3.3924,0.3405,38.0723
4.2080,1.1776,3.4890,0.3048,38.1830
4.1538,1.2741,3.5829,0.2723,38.2936
4.0967,1.3688,3.6743,0.2413,38.4039
4.0373,1.4618,3.7633,0.2131,38.5143
3.9759,1.5534,3.8503,0.1873,38.6243
3.9126,1.6435,3.9351,0.1623,38.7344
3.8479,1.7325,4.0181,0.1390,38.8442
3.7820,1.8203,4.0993,0.1171,38.9539
3.7150,1.9072,4.1676,0.0953,39.0633
3.6473,1.9932,4.1094,0.0745,39.1727
3.5789,2.0786,4.0504,0.0548,39.2820
3.5102,2.1635,3.9906,0.0358,39.3908
3.4413,2.2478,3.9302,0.0179,39.4995
3.3725,2.3319,3.8688,0.0016,39.6079
3.3038,2.4158,3.8067,-0.0122,39.7161
3.2354,2.4996,3.7437,-0.0221,39.8239
3.1676,2.5835,3.6797,-0.0277,39.9316
3.1003,2.6675,3.6148,-0.0303,40.0390
3.0335,2.7516,3.5488,-0.0291,40.1462
2.9672,2.8358,3.4817,-0.0231,40.2534
2.9010,2.9202,3.4133,-0.0134,40.3606
2.8351,3.0047,3.3435,0.0007,40.4677
2.7693,3.0892,3.2723,0.0190,40.5753
2.7032,3.1741,3.1991,0.0400,40.6832
2.6366,3.2590,3.1240,0.0651,40.7917
2.5692,3.3440,3.0466,0.0963,40.9009
2.5004,3.4288,2.9668,0.1353,41.0106
2.4302,3.5131,2.8843,0.1837,41.1209
2.3582,3.5967,2.7988,0.2405,41.2316
2.2842,3.6789,2.7105,0.3054,41.3424
2.2075,3.7589,2.6190,0.3798,41.4528
2.1278,3.8354,2.5245,0.4650,41.5622
2.0452,3.9072,2.4273,0.5661,41.6698
1.9599,3.9727,2.3278,0.6863,41.7747
1.8726,4.0308,2.2265,0.8144,41.8759
1.7841,4.0801,2.1241,0.9384,41.9718
1.6966,4.1190,2.0223,1.0744,42.0615
1.6111,4.1463,1.9223,1.2539,42.1455
1.5287,4.1628,1.8235,1.4435,42.2242
1.4503,4.1699,1.7298,1.6042,42.2973
1.3773,4.1689,1.7211,1.6205,42.3679
1.3075,4.1585,1.7649,1.5411,42.4421
1.2365,4.1367,1.8380,1.4209,42.5227
1.1636,4.1023,1.9104,1.3152,42.6187
1.0845,4.0478,2.0134,1.1841,42.6886
