x_map,y_map,v_target,kappa,s
-1.3571,-0.8476,4.7282,0.447304,20.6963
-1.3544,-0.7693,4.7032,0.452075,20.7747
-1.3545,-0.6909,4.7184,0.449170,20.8531
-1.3573,-0.6125,4.7482,0.443555,20.9315
-1.3628,-0.5344,4.7940,0.435113,21.0099
-1.3710,-0.4564,4.8590,0.409206,21.0883
-1.3817,-0.3788,4.9231,0.387892,21.1667
-1.3948,-0.3015,4.9864,0.371447,21.2451
-1.4101,-0.2246,5.0489,0.348172,21.3235
-1.4274,-0.1481,5.1106,0.325640,21.4019
-1.4468,-0.0722,5.1716,0.304058,21.4803
-1.4679,0.0033,5.2319,0.279412,21.5587
-1.4907,0.0783,5.2915,0.252335,21.6371
-1.5150,0.1529,5.3504,0.238006,21.7155
-1.5406,0.2269,5.4087,0.215744,21.7939
-1.5675,0.3006,5.4664,0.192224,21.8722
-1.5955,0.3738,5.5234,0.173378,21.9506
-1.6245,0.4466,5.5799,0.150596,22.0290
-1.6544,0.5191,5.6358,0.127958,22.1074
-1.6850,0.5913,5.6912,0.103884,22.1858
-1.7161,0.6632,5.7461,0.098350,22.2642
-1.7479,0.7349,5.8004,0.077864,22.3426
-1.7800,0.8064,5.8542,0.057492,22.4210
-1.8125,0.8777,5.9075,0.041991,22.4994
-1.8452,0.9490,5.9603,0.019040,22.5778
-1.8781,1.0202,6.0127,0.004226,22.6562
-1.9109,1.0914,6.0647,0.011927,22.7346
-1.9437,1.1626,6.1161,0.031811,22.8130
-1.9763,1.2339,6.1672,0.049127,22.8914
-2.0086,1.3053,6.2178,0.063384,22.9698
-2.0406,1.3769,6.2681,0.085888,23.0482
-2.0721,1.4486,6.3179,0.103196,23.1266
-2.1030,1.5207,6.3673,0.109989,23.2050
-2.1333,1.5930,6.4164,0.127608,23.2834
-2.1629,1.6656,6.4651,0.144365,23.3618
-2.1916,1.7385,6.5134,0.160594,23.4401
-2.2194,1.8118,6.5614,0.173878,23.5185
-2.2462,1.8855,6.6090,0.173459,23.5969
-2.2721,1.9595,6.6563,0.185489,23.6753
-2.2968,2.0339,6.6406,0.191532,23.7537
-2.3204,2.1087,6.5920,0.192835,23.8321
-2.3429,2.1838,6.5431,0.208044,23.9105
-2.3641,2.2592,6.4938,0.200366,23.9889
-2.3842,2.3350,6.4441,0.200575,24.0673
-2.4031,2.4111,6.3940,0.199362,24.1457
-2.4208,2.4875,6.3436,0.187050,24.2241
-2.4373,2.5641,6.2927,0.181899,24.3025
-2.4528,2.6409,6.2414,0.181526,24.3809
-2.4671,2.7180,6.1897,0.175567,24.4593
-2.4805,2.7953,6.1376,0.158555,24.5377
-2.4928,2.8727,6.0850,0.147879,24.6161
-2.5042,2.9502,6.0319,0.143964,24.6945
-2.5148,3.0279,5.9784,0.140524,24.7729
-2.5245,3.1057,5.9244,0.130484,24.8513
-2.5335,3.1836,5.8699,0.135508,24.9297
-2.5415,3.2616,5.8149,0.134883,25.0081
-2.5488,3.3396,5.7593,0.131502,25.0864
-2.5553,3.4177,5.7032,0.138340,25.1648
-2.5609,3.4959,5.6466,0.133687,25.2432
-2.5657,3.5742,5.5894,0.158701,25.3216
-2.5695,3.6525,5.5316,0.163619,25.4000
-2.5723,3.7308,5.4732,0.194722,25.4784
-2.5739,3.8092,5.4141,0.198017,25.5568
-2.5743,3.8876,5.3544,0.216684,25.6352
-2.5734,3.9660,5.2940,0.241536,25.7136
-2.5710,4.0443,5.2330,0.258968,25.7920
-2.5670,4.1226,5.1712,0.280156,25.8704
-2.5613,4.2008,5.1087,0.299635,25.9488
-2.5537,4.2788,5.0454,0.327232,26.0272
-2.5442,4.3566,4.9812,0.336599,26.1056
-2.5326,4.4342,4.9163,0.351973,26.1840
-2.5188,4.5113,4.8505,0.383010,26.2624
-2.5028,4.5881,4.7837,0.385835,26.3408
-2.4844,4.6643,4.7161,0.436550,26.4192
-2.4634,4.7398,4.6474,0.440659,26.4976
-2.4399,4.8146,4.5777,0.473610,26.5760
-2.4136,4.8884,4.5070,0.485291,26.6544
-2.3845,4.9612,4.4351,0.502292,26.7327
-2.3525,5.0328,4.3620,0.525564,26.8111
-2.3177,5.1030,4.2909,0.543125,26.8895
-2.2798,5.1716,4.2309,0.558647,26.9679
-2.2391,5.2386,4.1802,0.572272,27.0463
-2.1953,5.3036,4.1295,0.586411,27.1247
-2.1486,5.3666,4.0998,0.594929,27.2031
-2.0990,5.4273,4.0922,0.597166,27.2815
-2.0467,5.4856,4.0452,0.611099,27.3599
-1.9916,5.5413,4.0512,0.609296,27.4383
-1.9339,5.5944,4.0163,0.619941,27.5167
-1.8737,5.6446,4.0647,0.605248,27.5951
-1.8112,5.6919,4.0670,0.604585,27.6735
-1.7465,5.7361,4.0895,0.597950,27.7519
-1.6798,5.7773,4.0587,0.607049,27.8303
-1.6112,5.8153,4.0057,0.623211,27.9087
-1.5409,5.8498,4.0645,0.605325,27.9871
-1.4690,5.8810,4.0456,0.610975,28.0655
-1.3957,5.9088,3.9872,0.629008,28.1439
-1.3211,5.9328,3.9493,0.641146,28.2223
-1.2454,5.9531,3.9283,0.648032,28.3006
-1.1688,5.9695,3.8907,0.658738,28.3790
-1.0914,5.9820,3.8072,0.689891,28.4574
-1.0135,5.9902,3.8015,0.691980,28.5358
-0.9352,5.9942,3.7717,0.702957,28.6142
-0.8569,5.9939,3.6979,0.731297,28.6926
-0.7786,5.9891,3.6755,0.740249,28.7710
-0.7008,5.9798,3.6374,0.755833,28.8494
-0.6237,5.9659,3.6125,0.766294,28.9278
-0.5476,5.9474,3.5928,0.774709,29.0062
-0.4727,5.9243,3.5730,0.783318,29.0846
-0.3994,5.8966,3.5495,0.793732,29.1630
-0.3279,5.8645,3.5608,0.788678,29.2414
-0.2586,5.8280,3.5814,0.779621,29.3198
-0.1916,5.7873,3.6085,0.767991,29.3982
-0.1272,5.7427,3.6027,0.770469,29.4766
-0.0656,5.6942,3.6464,0.752085,29.5550
-0.0069,5.6422,3.6919,0.733682,29.6334
0.0487,5.5869,3.7010,0.730046,29.7118
0.1010,5.5286,3.7596,0.707468,29.7902
0.1500,5.4674,3.8421,0.662314,29.8686
0.1957,5.4038,3.8863,0.662096,29.9469
0.2381,5.3378,3.9662,0.622412,30.0253
0.2773,5.2699,4.0445,0.603220,30.1037
0.3131,5.2002,4.1213,0.537622,30.1821
0.3460,5.1290,4.1967,0.542143,30.2605
0.3759,5.0566,4.2708,0.499666,30.3389
0.4029,4.9830,4.3436,0.482320,30.4173
0.4271,4.9084,4.4152,0.433293,30.4957
0.4487,4.8330,4.4856,0.164004,30.5741
0.4694,4.7574,4.5550,0.110755,30.6525
0.4894,4.6816,4.6233,0.060892,30.7309
0.5091,4.6057,4.6907,0.352525,30.8093
0.5266,4.5293,4.7570,0.326027,30.8877
0.5422,4.4525,4.8225,0.307906,30.9661
0.5560,4.3753,4.8871,0.293210,31.0445
0.5679,4.2978,4.9509,0.260433,31.1229
0.5783,4.2201,5.0138,0.253091,31.2013
0.5871,4.1422,5.0760,0.216683,31.2797
