x_map,y_map,v_target,kappa,s
2.0862,3.9395,2.6052,0.478308,42.1234
2.0166,4.0231,2.4986,0.602964,42.2323
1.9417,4.1020,2.3872,0.740850,42.3411
1.8607,4.1747,2.2704,0.895981,42.4500
1.7730,4.2390,2.1472,1.192955,42.5588
1.6777,4.2915,2.0363,1.326452,42.6676
1.5760,4.3297,1.9192,1.493210,42.7765
1.4695,4.3509,1.8231,1.654839,42.8853
1.3610,4.3528,1.6955,1.913258,42.9942
1.2544,4.3321,1.6801,1.948516,43.1030
1.1545,4.2895,1.8071,1.684182,43.2119
1.0641,4.2295,1.8936,1.533801,43.3207
0.9848,4.1552,2.0052,1.367944,43.4296
